hotel,proveedor,fecha_inicio,fecha_fin,tipo_habitacion,tarifa_sencilla,tarifa_doble,tarifa_triple,tarifa_cuadruple,tarifa_primer_menor,tarifa_segundo_menor,tarifa_junior,habitaciones_disponibles,observaciones,estado
AZUL GRAND,Para Compartir,2026-02-27,2026-03-01,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-03-01,2026-03-03,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-03-06,2026-03-08,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-03-13,2026-03-15,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-03-20,2026-03-22,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-03-27,2026-03-29,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-04-26,2026-04-28,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-05-03,2026-05-05,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-05-08,2026-05-10,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-05-15,2026-05-17,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-05-17,2026-05-19,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-05-24,2026-05-26,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-06-07,2026-06-09,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-06-14,2026-06-16,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-06-19,2026-06-21,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-06-28,2026-06-30,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-07-03,2026-07-05,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-07-05,2026-07-07,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-07-10,2026-07-12,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-07-12,2026-07-14,Estándar,4599.0,3299.0,3082.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-07-17,2026-07-19,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-07-19,2026-07-21,Estándar,4599.0,3299.0,3082.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-07-24,2026-07-26,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-07-26,2026-07-28,Estándar,4599.0,3299.0,3082.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-07-31,2026-08-02,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-08-02,2026-08-04,Estándar,4599.0,3299.0,3082.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-08-07,2026-08-09,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-08-09,2026-08-11,Estándar,4599.0,3299.0,3082.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-08-14,2026-08-16,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-08-16,2026-08-18,Estándar,4599.0,3299.0,3082.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-08-21,2026-08-23,Estándar,4599.0,3299.0,3082.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-09-04,2026-09-06,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
AZUL GRAND,Para Compartir,2026-09-06,2026-09-08,Estándar,4199.0,2999.0,2799.0,,0.0,,,,DESAYUNO A LA LLEGADA,Activo
AZUL GRAND,Para Compartir,2026-09-11,2026-09-13,Estándar,4199.0,2999.0,2799.0,,699.0,,,,,Activo
