Hotel,Suite_Tipo,Destino,Fecha_Entrada,Fecha_Salida,Tipo_Habitacion,Tarifa_Publica_xpxn,Comision_Operadora_15pct,Tarifa_Neta_xpxn,Precio_Venta_Fenix_xpxn,Precio_Con_Tarjeta_xpxn,Precio_SPEI_Efectivo_xpxn,Menores,Beneficios,Tier_Kuani,Puntos_Kuani_xpxn,Fuente
Sunscape Puerto Vallarta,,Puerto Vallarta,2026-05-01,2026-05-04,DBL,2099.0,314.85,1784.15,1873.36,1940.8,1873.36,MNR 3-12: $563,,PREMIUM,54,BLOQUEOS_CLICK
Sunscape Puerto Vallarta,,Puerto Vallarta,2026-05-01,2026-05-04,SGL,4155.0,623.25,3531.75,3708.34,3841.84,3708.34,MNR 3-12: $563,,PREMIUM,106,BLOQUEOS_CLICK
Sunscape Puerto Vallarta,,Puerto Vallarta,2026-05-01,2026-05-04,TPL,2092.0,313.8,1778.2,1867.11,1934.33,1867.11,MNR 3-12: $563,,PREMIUM,53,BLOQUEOS_CLICK
AZUL IXTAPA,,Ixtapa,2026-05-03,2026-05-05,DBL,2599.0,389.85,2209.15,2319.61,2403.12,2319.61,GRATIS(0-12),DESAYUNO A LA LLEGADA,PREMIUM,66,BLOQUEOS_COMPARTIR
AZUL IXTAPA,,Ixtapa,2026-05-03,2026-05-05,SGL,3649.0,547.35,3101.65,3256.73,3373.97,3256.73,GRATIS(0-12),DESAYUNO A LA LLEGADA,PREMIUM,93,BLOQUEOS_COMPARTIR
AZUL IXTAPA,,Ixtapa,2026-05-03,2026-05-05,TPL,2432.0,364.8,2067.2,2170.56,2248.7,2170.56,GRATIS(0-12),DESAYUNO A LA LLEGADA,PREMIUM,62,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-03,2026-05-05,DBL,1743.0,261.45,1481.55,1555.63,1611.63,1555.63,490(6-12)2x1,DESAYUNO AMERICANO EN CORTESIA / CONFIRMACION INMEDIATA,ESTANDAR,30,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-03,2026-05-06,DBL,1805.0,270.75,1534.25,1610.96,1668.95,1610.96,490 (6-12),,ESTANDAR,31,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-03,2026-05-05,SGL,2731.0,409.65,2321.35,2437.42,2525.17,2437.42,490(6-12)2x1,DESAYUNO AMERICANO EN CORTESIA / CONFIRMACION INMEDIATA,ESTANDAR,46,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-03,2026-05-06,SGL,3435.0,515.25,2919.75,3065.74,3176.11,3065.74,490 (6-12),,ESTANDAR,58,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-03,2026-05-05,TPL,1665.0,249.75,1415.25,1486.01,1539.51,1486.01,490(6-12)2x1,DESAYUNO AMERICANO EN CORTESIA / CONFIRMACION INMEDIATA,ESTANDAR,28,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-03,2026-05-06,TPL,1650.0,247.5,1402.5,1472.62,1525.63,1472.62,490 (6-12),,ESTANDAR,28,BLOQUEOS_COMPARTIR
KRYSTAL PUERTO VALLARTA,,Puerto Vallarta,2026-05-03,2026-05-05,DBL,1845.0,276.75,1568.25,1646.66,1705.94,1646.66,900(6-12),,PREMIUM,47,BLOQUEOS_COMPARTIR
KRYSTAL PUERTO VALLARTA,,Puerto Vallarta,2026-05-03,2026-05-05,SGL,3690.0,553.5,3136.5,3293.33,3411.89,3293.33,900(6-12),,PREMIUM,94,BLOQUEOS_COMPARTIR
KRYSTAL PUERTO VALLARTA,,Puerto Vallarta,2026-05-03,2026-05-05,TPL,1755.0,263.25,1491.75,1566.34,1622.73,1566.34,900(6-12),,PREMIUM,45,BLOQUEOS_COMPARTIR
PARK ROYAL IXTAPA,,Ixtapa,2026-05-03,2026-05-05,DBL,2050.0,307.5,1742.5,1829.62,1895.49,1829.62,613(7-12),CONFIRMACION INMEDIATA,PREMIUM,52,BLOQUEOS_COMPARTIR
PARK ROYAL IXTAPA,,Ixtapa,2026-05-03,2026-05-05,SGL,4100.0,615.0,3485.0,3659.25,3790.98,3659.25,613(7-12),CONFIRMACION INMEDIATA,PREMIUM,105,BLOQUEOS_COMPARTIR
PARK ROYAL IXTAPA,,Ixtapa,2026-05-03,2026-05-05,TPL,1988.0,298.2,1689.8,1774.29,1838.16,1774.29,613(7-12),CONFIRMACION INMEDIATA,PREMIUM,51,BLOQUEOS_COMPARTIR
Riu Emerald Bay,,Mazatlán,2026-05-03,2026-05-06,DBL,2317.0,347.55,1969.45,2067.92,2142.37,2067.92,MNR 5-12: $812,,PREMIUM,59,BLOQUEOS_CLICK
Riu Emerald Bay,,Mazatlán,2026-05-03,2026-05-06,SGL,3359.0,503.85,2855.15,2997.91,3105.83,2997.91,MNR 5-12: $812,,PREMIUM,86,BLOQUEOS_CLICK
Riu Emerald Bay,,Mazatlán,2026-05-03,2026-05-06,TPL,2124.0,318.6,1805.4,1895.67,1963.91,1895.67,MNR 5-12: $812,,PREMIUM,54,BLOQUEOS_CLICK
Vamar Vallarta,,Puerto Vallarta,2026-05-03,2026-05-06,DBL,1991.0,298.65,1692.35,1776.97,1840.94,1776.97,SIN MENORES,,PREMIUM,51,BLOQUEOS_CLICK
HOLIDAY INN IXTAPA,,Ixtapa,2026-05-07,2026-05-10,DBL,2312.0,346.8,1965.2,2063.46,2137.74,2063.46,GRATIS(6-12),DESAYUNO A LA LLEGADA,PREMIUM,59,BLOQUEOS_COMPARTIR
HOLIDAY INN IXTAPA,,Ixtapa,2026-05-07,2026-05-10,SGL,4624.0,693.6,3930.4,4126.92,4275.49,4126.92,GRATIS(6-12),DESAYUNO A LA LLEGADA,PREMIUM,118,BLOQUEOS_COMPARTIR
HOLIDAY INN IXTAPA,,Ixtapa,2026-05-07,2026-05-10,TPL,2312.0,346.8,1965.2,2063.46,2137.74,2063.46,GRATIS(6-12),DESAYUNO A LA LLEGADA,PREMIUM,59,BLOQUEOS_COMPARTIR
AZUL GRAND,,Ixtapa,2026-05-08,2026-05-10,DBL,3299.0,494.85,2804.15,2944.36,3050.36,2944.36,699(7-12) 299(3-6),,LUXURY,112,BLOQUEOS_COMPARTIR
AZUL GRAND,,Ixtapa,2026-05-08,2026-05-10,SGL,4599.0,689.85,3909.15,4104.61,4252.38,4104.61,699(7-12) 299(3-6),,LUXURY,156,BLOQUEOS_COMPARTIR
AZUL GRAND,,Ixtapa,2026-05-08,2026-05-10,TPL,3082.0,462.3,2619.7,2750.68,2849.7,2750.68,699(7-12) 299(3-6),,LUXURY,105,BLOQUEOS_COMPARTIR
AZUL IXTAPA,,Ixtapa,2026-05-08,2026-05-10,DBL,2899.0,434.85,2464.15,2587.36,2680.5,2587.36,599(7-12) 199(3-6),,PREMIUM,74,BLOQUEOS_COMPARTIR
AZUL IXTAPA,,Ixtapa,2026-05-08,2026-05-10,SGL,4049.0,607.35,3441.65,3613.73,3743.82,3613.73,599(7-12) 199(3-6),,PREMIUM,103,BLOQUEOS_COMPARTIR
AZUL IXTAPA,,Ixtapa,2026-05-08,2026-05-10,TPL,2699.0,404.85,2294.15,2408.86,2495.58,2408.86,599(7-12) 199(3-6),,PREMIUM,69,BLOQUEOS_COMPARTIR
BRISAS IXTAPA,,Ixtapa,2026-05-08,2026-05-10,DBL,2594.0,389.1,2204.9,2315.14,2398.49,2315.14,1125(7-12)2x1,,PREMIUM,66,BLOQUEOS_COMPARTIR
BRISAS IXTAPA,,Ixtapa,2026-05-08,2026-05-10,SGL,4063.0,609.45,3453.55,3626.23,3756.77,3626.23,1125(7-12)2x1,,PREMIUM,104,BLOQUEOS_COMPARTIR
BRISAS IXTAPA,,Ixtapa,2026-05-08,2026-05-10,TPL,2279.0,341.85,1937.15,2034.01,2107.23,2034.01,1125(7-12)2x1,,PREMIUM,58,BLOQUEOS_COMPARTIR
EMPORIO IXTAPA / VISTA AL MAR,,Ixtapa,2026-05-08,2026-05-10,DBL,2225.0,333.75,1891.25,1985.81,2057.3,1985.81,819(6-12),SUPLEMENTO OBLIGATORIO DIA DE LAS MADRES ADL $395 / MNRS $240,PREMIUM,57,BLOQUEOS_COMPARTIR
EMPORIO IXTAPA / VISTA AL MAR,,Ixtapa,2026-05-08,2026-05-10,SGL,3643.0,546.45,3096.55,3251.38,3368.43,3251.38,819(6-12),SUPLEMENTO OBLIGATORIO DIA DE LAS MADRES ADL $395 / MNRS $240,PREMIUM,93,BLOQUEOS_COMPARTIR
EMPORIO IXTAPA / VISTA AL MAR,,Ixtapa,2026-05-08,2026-05-10,TPL,2040.0,306.0,1734.0,1820.7,1886.25,1820.7,819(6-12),SUPLEMENTO OBLIGATORIO DIA DE LAS MADRES ADL $395 / MNRS $240,PREMIUM,52,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-08,2026-05-10,DBL,1875.0,281.25,1593.75,1673.44,1733.68,1673.44,490(6-12)2x1,DESAYUNO AMERICANO EN CORTESIA,ESTANDAR,32,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-08,2026-05-10,SGL,3435.0,515.25,2919.75,3065.74,3176.11,3065.74,490(6-12)2x1,DESAYUNO AMERICANO EN CORTESIA,ESTANDAR,58,BLOQUEOS_COMPARTIR
FONTAN IXTAPA,,Ixtapa,2026-05-08,2026-05-10,TPL,1730.0,259.5,1470.5,1544.03,1599.62,1544.03,490(6-12)2x1,DESAYUNO AMERICANO EN CORTESIA,ESTANDAR,29,BLOQUEOS_COMPARTIR
Holiday Inn Resort Ixtapa,,Ixtapa,2026-05-08,2026-05-10,DBL,2500,375.0,2125.0,2231.25,2311.58,2231.25,GRATIS (0-12 años),Early check in + Menores Gratis 0-12,PREMIUM,64,MONARCA_FLYER
Holiday Inn Resort Ixtapa,,Ixtapa,2026-05-08,2026-05-10,SGL,5000,750.0,4250.0,4462.5,4623.15,4462.5,GRATIS (0-12 años),Early check in + Menores Gratis 0-12,PREMIUM,128,MONARCA_FLYER
Holiday Inn Resort Ixtapa,,Ixtapa,2026-05-08,2026-05-10,TPL,2500,375.0,2125.0,2231.25,2311.58,2231.25,GRATIS (0-12 años),Early check in + Menores Gratis 0-12,PREMIUM,64,MONARCA_FLYER
Krystal Grand Nuevo Vallarta,,Riviera Nayarit,2026-05-08,2026-05-11,DBL,2550.0,382.5,2167.5,2275.88,2357.81,2275.88,MNR 4-12 GRATIS,,LUXURY,87,BLOQUEOS_CLICK
Krystal Grand Nuevo Vallarta,,Riviera Nayarit,2026-05-08,2026-05-11,SGL,4335.0,650.25,3684.75,3868.99,4008.27,3868.99,MNR 4-12 GRATIS,,LUXURY,147,BLOQUEOS_CLICK
Krystal Grand Nuevo Vallarta,,Riviera Nayarit,2026-05-08,2026-05-11,TPL,2380.0,357.0,2023.0,2124.15,2200.62,2124.15,MNR 4-12 GRATIS,,LUXURY,81,BLOQUEOS_CLICK
PARK ROYAL IXTAPA,,Ixtapa,2026-05-08,2026-05-10,DBL,2290.0,343.5,1946.5,2043.83,2117.41,2043.83,700(7-12),,PREMIUM,58,BLOQUEOS_COMPARTIR
PARK ROYAL IXTAPA,,Ixtapa,2026-05-08,2026-05-10,SGL,4580.0,687.0,3893.0,4087.65,4234.81,4087.65,700(7-12),,PREMIUM,117,BLOQUEOS_COMPARTIR
PARK ROYAL IXTAPA,,Ixtapa,2026-05-08,2026-05-10,TPL,2228.0,334.2,1893.8,1988.49,2060.08,1988.49,700(7-12),,PREMIUM,57,BLOQUEOS_COMPARTIR
QUALTON IXTAPA,,Ixtapa,2026-05-08,2026-05-10,DBL,2099.0,314.85,1784.15,1873.36,1940.8,1873.36,599(6-12)2x1,CONFIRMACION INMEDIATA,PREMIUM,54,BLOQUEOS_COMPARTIR
QUALTON IXTAPA,,Ixtapa,2026-05-08,2026-05-10,SGL,3398.0,509.7,2888.3,3032.72,3141.9,3032.72,599(6-12)2x1,CONFIRMACION INMEDIATA,PREMIUM,87,BLOQUEOS_COMPARTIR
QUALTON IXTAPA,,Ixtapa,2026-05-08,2026-05-10,TPL,1999.0,299.85,1699.15,1784.11,1848.34,1784.11,599(6-12)2x1,CONFIRMACION INMEDIATA,PREMIUM,51,BLOQUEOS_COMPARTIR
Sheraton Buganvilias,,Puerto Vallarta,2026-05-08,2026-05-11,DBL,3590.0,538.5,3051.5,3204.08,3319.43,3204.08,MNR 6-12 GRATIS,,LUXURY,122,BLOQUEOS_CLICK
Sheraton Buganvilias,,Puerto Vallarta,2026-05-08,2026-05-11,SGL,6050.0,907.5,5142.5,5399.62,5594.01,5399.62,MNR 6-12 GRATIS,,LUXURY,206,BLOQUEOS_CLICK
Sheraton Buganvilias,,Puerto Vallarta,2026-05-08,2026-05-11,TPL,3290.0,493.5,2796.5,2936.33,3042.04,2936.33,MNR 6-12 GRATIS,,LUXURY,112,BLOQUEOS_CLICK
EMPORIO IXTAPA,,Ixtapa,2026-05-10,2026-05-12,DBL,2015.0,302.25,1712.75,1798.39,1863.13,1798.39,819(6-12)2x1,"EARLY CHECK IN PARA USO DE INSTALACIONES, NO INCLUYE DESAYUNO(ENTREGAD DE HABITACIONES 15:00 HRS)",PREMIUM,51,BLOQUEOS_COMPARTIR
EMPORIO IXTAPA,,Ixtapa,2026-05-10,2026-05-12,SGL,3223.0,483.45,2739.55,2876.53,2980.09,2876.53,819(6-12)2x1,"EARLY CHECK IN PARA USO DE INSTALACIONES, NO INCLUYE DESAYUNO(ENTREGAD DE HABITACIONES 15:00 HRS)",PREMIUM,82,BLOQUEOS_COMPARTIR
EMPORIO IXTAPA,,Ixtapa,2026-05-10,2026-05-12,TPL,1900.0,285.0,1615.0,1695.75,1756.8,1695.75,819(6-12)2x1,"EARLY CHECK IN PARA USO DE INSTALACIONES, NO INCLUYE DESAYUNO(ENTREGAD DE HABITACIONES 15:00 HRS)",PREMIUM,48,BLOQUEOS_COMPARTIR
HOLIDAY INN,,Ixtapa,2026-05-10,2026-05-13,DBL,2407.0,361.05,2045.95,2148.25,2225.59,2148.25,GRATIS(0-12),EARLY CHECK IN,PREMIUM,61,BLOQUEOS_COMPARTIR
HOLIDAY INN,,Ixtapa,2026-05-10,2026-05-13,SGL,4814.0,722.1,4091.9,4296.49,4451.16,4296.49,GRATIS(0-12),EARLY CHECK IN,PREMIUM,123,BLOQUEOS_COMPARTIR
HOLIDAY INN,,Ixtapa,2026-05-10,2026-05-13,TPL,2407.0,361.05,2045.95,2148.25,2225.59,2148.25,GRATIS(0-12),EARLY CHECK IN,PREMIUM,61,BLOQUEOS_COMPARTIR
Oceano Palace,,Mazatlán,2026-05-10,2026-05-13,DBL,1842.0,276.3,1565.7,1643.99,1703.17,1643.99,MNR 6-12 GRATIS,,PREMIUM,47,BLOQUEOS_CLICK
Oceano Palace,,Mazatlán,2026-05-10,2026-05-13,SGL,2763.0,414.45,2348.55,2465.98,2554.76,2465.98,MNR 6-12 GRATIS,,PREMIUM,70,BLOQUEOS_CLICK
Oceano Palace,,Mazatlán,2026-05-10,2026-05-13,TPL,1745.0,261.75,1483.25,1557.41,1613.48,1557.41,MNR 6-12 GRATIS,,PREMIUM,44,BLOQUEOS_CLICK
Pueblo Bonito Mazatlan,,Mazatlán,2026-05-10,2026-05-13,DBL,2099.0,314.85,1784.15,1873.36,1940.8,1873.36,MNR 5-11 GRATIS,,PREMIUM,54,BLOQUEOS_CLICK
Pueblo Bonito Mazatlan,,Mazatlán,2026-05-10,2026-05-13,SGL,3860.0,579.0,3281.0,3445.05,3569.07,3445.05,MNR 5-11 GRATIS,,PREMIUM,98,BLOQUEOS_CLICK
Pueblo Bonito Mazatlan,,Mazatlán,2026-05-10,2026-05-13,TPL,2029.0,304.35,1724.65,1810.88,1876.07,1810.88,MNR 5-11 GRATIS,,PREMIUM,52,BLOQUEOS_CLICK
Riu Jalisco,,Riviera Nayarit,2026-05-10,2026-05-13,DBL,2599.0,389.85,2209.15,2319.61,2403.12,2319.61,MNR 5-12: $1299,,PREMIUM,66,BLOQUEOS_CLICK
Riu Jalisco,,Riviera Nayarit,2026-05-10,2026-05-13,SGL,3769.0,565.35,3203.65,3363.83,3484.93,3363.83,MNR 5-12: $1299,,PREMIUM,96,BLOQUEOS_CLICK
Riu Jalisco,,Riviera Nayarit,2026-05-10,2026-05-13,TPL,2383.0,357.45,2025.55,2126.83,2203.4,2126.83,MNR 5-12: $1299,,PREMIUM,61,BLOQUEOS_CLICK
Sunscape Dorado Ixtapa,,Ixtapa,2026-05-10,2026-05-12,DBL,2263.0,339.45,1923.55,2019.73,2092.44,2019.73,MNR 3-12: $535,,PREMIUM,58,BLOQUEOS_CLICK
Sunscape Dorado Ixtapa,,Ixtapa,2026-05-10,2026-05-12,SGL,3394.0,509.1,2884.9,3029.15,3138.2,3029.15,MNR 3-12: $535,,PREMIUM,87,BLOQUEOS_CLICK
Sunscape Dorado Ixtapa,,Ixtapa,2026-05-10,2026-05-12,TPL,2112.0,316.8,1795.2,1884.96,1952.82,1884.96,MNR 3-12: $535,,PREMIUM,54,BLOQUEOS_CLICK
Costa Club Punta Arena,,Puerto Vallarta,2026-05-14,2026-05-17,DBL,1595.0,239.25,1355.75,1423.54,1474.79,1423.54,MNR 6-12 GRATIS,,PREMIUM,41,BLOQUEOS_CLICK
Costa Club Punta Arena,,Puerto Vallarta,2026-05-14,2026-05-17,SGL,2395.0,359.25,2035.75,2137.54,2214.49,2137.54,MNR 6-12 GRATIS,,PREMIUM,61,BLOQUEOS_CLICK
Costa Club Punta Arena,,Puerto Vallarta,2026-05-14,2026-05-17,TPL,1575.0,236.25,1338.75,1405.69,1456.29,1405.69,MNR 6-12 GRATIS,,PREMIUM,40,BLOQUEOS_CLICK
Hotel Xcaret Mexico,Suite Garden / All Fun Inclusive,Riviera Maya,2026-05-14,2026-05-17,DBL,7667,1150.05,6516.95,6842.8,7089.14,6842.8,"JR(13-17): $2,687 | MNR hasta 12 GRATIS",Todo Incluido All Fun Inclusive | Parques incluidos | Xcaret Arte Show,PREMIUM PLUS,261,IMAGEN_XCARET
Hotel Xcaret Mexico,Suite Garden / All Fun Inclusive,Riviera Maya,2026-05-14,2026-05-17,SGL,15334,2300.1,13033.9,13685.59,14178.27,13685.59,"JR(13-17): $2,687 | MNR hasta 12 GRATIS",Todo Incluido All Fun Inclusive | Parques incluidos | Xcaret Arte Show,PREMIUM PLUS,521,IMAGEN_XCARET
Hotel Xcaret Mexico,Suite Garden / All Fun Inclusive,Riviera Maya,2026-05-14,2026-05-17,TPL,6900,1035.0,5865.0,6158.25,6379.95,6158.25,"JR(13-17): $2,687 | MNR hasta 12 GRATIS",Todo Incluido All Fun Inclusive | Parques incluidos | Xcaret Arte Show,PREMIUM PLUS,235,IMAGEN_XCARET
Iberostar Playa Mita,,Riviera Nayarit,2026-05-14,2026-05-17,DBL,2928.0,439.2,2488.8,2613.24,2707.32,2613.24,MNR 3-12: $1464,,LUXURY,100,BLOQUEOS_CLICK
